hotel_name,rating,total_review,hotel_star,price,facility_1,facility_2,facility_3,facility_4
The Teuz B&B,4.2,-79,Bed & breakfast,IDR 200K,Free breakfast,Free Wi-Fi,Breakfast,Wi-Fi
Wae Molas - Your Urban Oasis,4.7,-63,Hotel,IDR 693K,Pool,Spa,Free Wi-Fi,Air-conditioned
Villa Alam Flores Komodo Labuan Bajo RedPartner,4,-23,Hotel,IDR 891K,Free parking,Free Wi-Fi,Wi-Fi,
Luwansa Beach Resort,4.2,-820,4-star hotel,IDR 544K,Pool,Free parking,Free breakfast,Free Wi-Fi
PINKI MENTE HOTEL,,,Hotel,IDR 348K,,,,
de Chocolate hostel-hotel-Lounge Bar,3.8,-154,2-star hotel,IDR 455K,Free breakfast,Free Wi-Fi,Air-conditioned,Breakfast
Homestay Golo Koe Sejahtera,,,Homestay,IDR 120K,,,,
Aulya Hotel Labuhanbajo,3.6,-84,3-star hotel,IDR 450K,Free Wi-Fi,Wi-Fi,Airport shuttle,
Hotel Palm Bajo,4.4,-9,Hotel,IDR 594K,Free Wi-Fi,Wi-Fi,,
Selini on the Hill Villas & Spa,4,-180,3-star hotel,IDR 573K,Free breakfast,Free Wi-Fi,Beach access,Breakfast
Hotel KALTON,4.2,-175,2-star hotel,IDR 516K,Free parking,Free breakfast,Free Wi-Fi,Air-conditioned
Centro Bajo Hotel & Resto,4.1,-233,Hotel,IDR 486K,Free breakfast,Breakfast,Airport shuttle,Restaurant
