hotel_name,rating,total_review,hotel_star,price,facility_pool,facility_wifi,facility_breakfast,facility_beach_access,facility_spa,coordinate,image,cluster_hotel
Harbour komodo hotel,4.9,31,3-star hotel,644000,Yes,Yes,No,Yes,No,"-8.492277369894275, 119.87762506950021",https://lh5.googleusercontent.com/p/AF1QipPjrpM1u0ZO3mxr67Nx4x_Vonfm7ECHO_QX3ty1=w532-h240-k-no,Deluxe
TRIPLE 8 SUITES,4,67,3-star hotel,862000,Yes,Yes,No,No,No,"-8.491656378023798, 119.8780058567442",https://lh5.googleusercontent.com/p/AF1QipMwRlOKDgFEClUsYJnztqM7aqELlFEQ3x4iPjHF=w408-h544-k-no,Deluxe
Theodor Hotel Labuan Bajo,4.7,56,3-star hotel,836000,Yes,Yes,No,No,No,"-8.466093619695958, 119.89778922532118",https://lh5.googleusercontent.com/p/AF1QipOTZJxHtUkRXMI2rVKzNWKOT9jZ7WYUL7Z9iYnJ=w408-h306-k-no,Deluxe
Eco Tree O'tel,4.1,443,3-star hotel,483000,No,Yes,No,Yes,Yes,"-8.495020282452819, 119.87857858484315",https://lh4.googleusercontent.com/proxy/f5qWTkBj3BbhucNyYReTm0l0vSJM9PFMfuadiCs6j7VKN_aXxm1IimqfUcs3p8HJbbMsmQphc7hQloS_8vNtw5yNooNdYF_w7F1LYmTZjUIbcfRZwF2Xu7obFkoY_BnmDFQtE59diPPnnLVpAlvlN8dMVHhtMVw=w408-h265-k-no,Deluxe
"Sudamala Resort, Komodo",4.5,203,5-star hotel,2620000,Yes,Yes,Yes,No,No,"-8.513792448518869, 119.87625914066476",https://lh5.googleusercontent.com/proxy/9e1EYdZBe190_u9y1JBS2SJMHsVA3JkgWIWrL5mMtlcRZ2ydrEM5PCbzi7lZTZ9rdqaiH59VpGbldJd5BzMzB2mkKumDjpJaVkPf6lr0ACpn16p4F8TVouAg9PWi2PNadEpzNtQUpi39EaGaWxL20PDhq-Szsg=w408-h272-k-no,King
The Seraya Resort Komodo,4.7,69,1-star hotel,176000,Yes,No,Yes,Yes,No,"-8.412416390120981, 119.8708838743502",https://lh5.googleusercontent.com/p/AF1QipMC2plpSHKPuoDS7hVptf0k4B93JqhNGVh3r9xx=w408-h272-k-no,Basic
Mohini Resort,4.5,77,3-star hotel,752000,Yes,Yes,Yes,Yes,No,"-8.457430150685138, 119.87421485415695",https://lh5.googleusercontent.com/p/AF1QipPzjcSxOUjsnBgCcf09J2fnAeFpH-VJ6xuAiYvt=w408-h725-k-no,Deluxe
Mohini komodo,4.5,172,4-star hotel,744000,Yes,Yes,No,No,No,"-8.457663365120073, 119.87399151743439",https://lh5.googleusercontent.com/p/AF1QipP-WhHHwytv6huRsm72ZurcHukvYbkXkBjamu3b=w408-h272-k-no,Deluxe
Blue Ocean Hotel,4,131,2-star hotel,462000,No,Yes,Yes,No,No,"-8.492401151109906, 119.87729913540922",https://lh5.googleusercontent.com/p/AF1QipNqXIfxjKAz-yGOGgYdTszRMYgt-6WnbQDCKZZV=w408-h306-k-no,Deluxe
Hotel Bonne Nuit,4.2,117,3-star hotel,320000,No,Yes,Yes,No,No,"-8.490531819158175, 119.88521012645789",https://lh5.googleusercontent.com/p/AF1QipNlYpVflprNrIN4v4e7zvlzqWiW4s7Qh8ILoTEU=w408-h306-k-no,Basic
Green Prundi Hotel,4,296,2-star hotel,303000,No,Yes,Yes,No,No,"-8.489955175938903, 119.88327835674416",https://lh4.googleusercontent.com/proxy/g5lBERNzcRZZUXfMDra6dYEyyo0PfVoRQ0UsbVhdKNkNhjeeMDSO3NV9MgKG5Sv5BNLvEeuSph02wIg4J0da1jLGJmHQZMeUbsoosML0430jrfn8mt59O0Im2-l1VmLZmUQkJ1T5MXKqF5LmtZfXBiTRS09--w=w408-h725-k-no,Basic
Cahaya Adrian Hotel,3.7,76,2-star hotel,273000,No,Yes,Yes,No,No,"-8.489550260529127, 119.89400069993344",https://lh6.googleusercontent.com/proxy/j-yQlqlxTa3PdGjY8Ae7Htmfz8aX3fsZtyQzyg0C_me5etyKBQMZJsmJAs8JI3e0FY6zk2E5AHAFJihK3BlzypPDpu7Yj-SzACrGtwQp56BBYFIsR_9SOHKTyMbUwpIZ1KnLddkFd65SrZkNshavIYHEHZa5Fg=w408-h544-k-no,Basic
Siola Hotel,3.6,239,2-star hotel,215000,No,Yes,Yes,Yes,No,"-8.48916518259955, 119.87610099648592",https://lh5.googleusercontent.com/proxy/wS4qGuZZEA6t0tGD_ux7xFc3t8k3J046IK4oiDKPxy8JoCSnzfuzQFne-8-Cr2FbfeKqb4tsO0FTVKFYgtnapw_IczqR8UYR6N2jX_jjWtYdQ5sfvJTkncUMnTIDAjLYR5QvOWrKoNdh_sCTb_uzpi7WOVhZvA=w408-h306-k-no,Basic
World Bnb,4.4,160,3-star hotel,405000,Yes,No,Yes,No,No,"-8.488561974174717, 119.89708400858787",https://lh6.googleusercontent.com/proxy/GZwmkP4F1kOO3J-yRISL5U2ytFJC-LYaD4o1i3D5iPgx8zJ5MXmnnznw4AR_wMTyzfTJPV85SyURZryGgzZuuzXZl-KvionrU-WB_dU41YciTYG-KnHiIKWeYTkTcyLVNIg0GbnecX53z8RirdU1eEd5Zq-woQ=w408-h272-k-no,Deluxe
Matahari Hotel,3.8,259,3-star hotel,459000,No,Yes,Yes,No,No,"-8.496092671689727, 119.87871865230723",https://lh6.googleusercontent.com/proxy/6kdTtzdvTXhD0m7uMmn-QUnVgCXJBV_Swo18AXhwaUzP2oylARyLcis3NfT2g5qdc9llLUsKlRWSgMWzMR55c55J9J48hqNbm7TchQVbQqkPNpOBP_su0YKxW1_U63Jw1dtnHLUqv_J2tgwUISNl-97aqZcQZcY=w408-h306-k-no,Deluxe
